RMSE,R2,Sp
2.248388779599599,-3.869055308957704,0.11616837706316092
1.3854673731126708,-0.8488194227394319,0.3154658182228648
1.0587129085753881,-0.07958863964246032,0.4845759296806564
0.9241471806152324,0.17740858052891373,0.5827942575088967
0.8457236891353563,0.31109572410514696,0.5962157112405603
0.8108357222619802,0.3667610257347478,0.6497864103322031
0.7528133001990676,0.4541460519263455,0.6848480398597155
0.725911300056387,0.49246148668521084,0.7028615420958757
0.684119491079604,0.5492187773364952,0.7308699987282297
0.7026854258860027,0.5244197822174973,0.7238262073951366
0.671880987411106,0.5652029460301353,0.7394749938905054
0.6992741892471411,0.5290260506212026,0.7261450310188985
0.6797585772415788,0.5549474623166868,0.7433722792552245
0.6663952499249993,0.5722739759830596,0.7524410008042426
0.671732125821366,0.5653955914888078,0.7465746613509986
0.6701464669011837,0.567444982791523,0.7537242097038743
0.6614960646931285,0.5785399455235924,0.7492741888089598
0.6465647806871131,0.597351599920319,0.7615426205995478
0.6437801766004912,0.6008123574645068,0.7645339868338751
0.6503378736024825,0.5926384986830935,0.7608519724042775
0.640001985341851,0.6054840813327609,0.7681400223209973
0.6245336798119284,0.6243238564133038,0.7754471823087127
0.6322496485711381,0.6149837298576286,0.7740672620909055
0.619086262247443,0.6308488521699529,0.7836674404661658
0.6245013114160501,0.6243627965679022,0.7817322296183876
71.32294533200803,-4898.597766152392,0.777899188323307
0.6089609183743906,0.6428252640415193,0.790682629909224
0.6058272673247137,0.6464917758023854,0.7930447003590664
0.6040916357375553,0.6485144023188772,0.7952033409606898
0.5974359337021645,0.6562168631868623,0.8000191636496233
0.6144970391559565,0.6363015262703051,0.7955788741282717
