RMSE,R2,Sp
1.4677500802575785,-1.0749427321745868,0.30859821323017017
1.6716796897535395,-1.6915845156043976,0.31963963677644247
1.7582323241303917,-1.9775180940850983,0.3335324068013581
1.6393690657412692,-1.5885428641269743,0.34792282483590553
1.5559400144434918,-1.3317800849169386,0.39372156699390604
1.5342022026277908,-1.2670812915266838,0.3921551151981478
1.458055511252947,-1.0476230362634698,0.4126964476572413
1.4551670955113125,-1.0395183676146136,0.4127000285720663
1.3910363034402267,-0.8637120708040178,0.45153961785795127
1.3904457834855368,-0.8621300480181358,0.46333366092799316
1.3826704563376564,-0.8413623368821543,0.4666029690880239
1.3633154589868273,-0.7901713725597739,0.4725581764707837
1.317327769278886,-0.6714353495562009,0.48452747364317156
1.3046516839226705,-0.6394230900961131,0.5191172217903228
1.260847544270986,-0.5311828037714068,0.5059951618176334
1.2721129993338811,-0.5586667476791742,0.5133629722523821
1.264447181359629,-0.5399381369749614,0.5073335959828227
1.2279776779994171,-0.4523886082552677,0.5409629692185861
1.2319406580372263,-0.461778151438734,0.5392626421130357
1.1800791803974406,-0.34129463032319607,0.5433938866608813
1.1892815168560675,-0.36229520490808786,0.527877344026941
1.0994056674386041,-0.16417382922761492,0.5641034850235805
1.1337239125103038,-0.23798819367021506,0.5387680351989893
1.1539120609097187,-0.2824702949896767,0.5545747496714855
1.1034430180496144,-0.17273992689056117,0.5695625989665148
1.0951675714411544,-0.15521558789687462,0.5550893519660303
1.034532036793589,-0.030836476002878754,0.5876890080940725
1.0904527743652623,-0.1452903798365226,0.5762161732538997
1.0158589565385083,0.006040435276853717,0.5858077250990095
1.0172475105927656,0.003321337643612199,0.5828397779523116
1.007770142164665,0.02180629557856084,0.5935733488233307
1.0171039454261215,0.0036026423205198777,0.5913848959202663
0.9864827137076927,0.06269518484673808,0.5972591120963238
0.9606187339190213,0.11120010802675528,0.6145935887194643
0.9824881180871756,0.07027073178298437,0.6078217612124484
0.9668003207678098,0.09972443903914363,0.6101875780327379
0.9559001776915537,0.11991022791697747,0.618901054775228
0.9218773586479646,0.18144439463372297,0.6192177650947746
0.9239125229201158,0.17782626919147326,0.6046212729890165
0.9213849938967295,0.18231852457474995,0.6190101035586013
0.8901862324033346,0.23675558397555685,0.6344186367124638
0.9274818546295,0.1714614255403416,0.618893922977429
0.8876660695144767,0.24107103487455317,0.6291768983851709
0.917710958414952,0.18882655573903473,0.6276066171882051
0.8966088885280594,0.22570230027077975,0.6340584709800869
0.8519548111731157,0.30090691102301026,0.6463409509189725
0.881332731840108,0.25186204429727,0.6348452215666096
0.8436925977661116,0.31440069794806946,0.6440552912081673
0.847773238263079,0.30775266053467465,0.6582186620356326
0.8203678928880959,0.3517848174279137,0.6605688950592323
0.8347236202844778,0.3288999129610556,0.6492431122139831
0.8211889232665437,0.3504866908718961,0.6599323110837125
0.857495113961157,0.2917848752056129,0.6442574850077697
0.8472513852287039,0.30860463408814864,0.6548161622650654
0.788188483702932,0.40164068086127713,0.6721996059659724
0.7762867444810944,0.41957483963839604,0.6788115101937997
