RMSE,R2,Sp
2.2467298821553787,-4.399030194211238,0.14883478841092176
0.9853273074760107,-0.03842484699427828,0.4762904662563119
0.8372714822182354,0.250197936034124,0.580008395671909
0.7665022740503104,0.3715931240178174,0.6120345636315422
0.7315407265312373,0.42761129961881206,0.6785502108676689
0.6989432773183074,0.47748604094159064,0.6945266503659363
0.6846926390336647,0.49857573000629185,0.7128528664516679
0.6363135812626067,0.5669316765565469,0.7340996969025291
0.6329116007946013,0.5715500019534825,0.7322290842019537
0.6199170144198918,0.5889627837431306,0.7507321328499132
0.6125682282633547,0.5986502760576293,0.7517322544917906
0.5950148491738099,0.6213223778926229,0.7603172414148526
0.5876990992509079,0.6305768702953491,0.7700328338007578
0.5810881848602404,0.638841264877862,0.7716689592611753
0.618082381336972,0.5913920979303169,0.7740568418753989
0.5842647240365267,0.6348818982928744,0.7715207177943529
2.793338784706653,-7.345670921624215,0.7767055276385635
0.5922448614584958,0.6248399062435374,0.7822766918705755
0.5602426424273971,0.664288393293272,0.7899982252482893
0.5543328743930538,0.6713336036796478,0.7897485520698652
1.3219872640956774,-0.8692551056342375,0.7889009552549254
0.5522198975491691,0.6738344148537291,0.7920967897208258
1.4463083890874444,-1.2373598672844546,0.7959111542501334
0.6033714621882813,0.6106111030358361,0.7986427303247232
0.5465531429619418,0.6804941419511341,0.7973226535207392
1.5295215009141405,-1.5022183567504475,0.7995803184485112
0.551578118962137,0.6745921001601394,0.7978915364771537
0.5646022496547909,0.659043290093833,0.803189422197222
0.8417881263812037,0.24208653219169152,0.805356283878941
2.321623311645671,-4.764976548088562,0.8067459815003831
7.553681514777934,-60.028314076544056,0.8038041841209409
