RMSE,R2,Sp
1.7872120678655294,-3.297536060061679,0.11589453118617939
1.2331350877289913,-1.0459200746158448,0.3345177648817607
0.9730261488133339,-0.2738443816993432,0.4046326054958231
0.8485617226920794,0.031199781800502313,0.46732452955603043
0.7009216716396487,0.3389925885152403,0.5969725065437919
0.711405910529486,0.3190702781426893,0.6197950908470454
0.6797396478073945,0.37834052512747474,0.6367146923953301
0.6239683675293577,0.4761674276497845,0.6775697008606627
0.5945904031454743,0.5243328677378383,0.7043504854392555
0.5878070074928679,0.5351242722351326,0.7103066120358367
0.5801930175826461,0.5470895422056471,0.7210738838657627
0.5843316090102011,0.540605160320081,0.7202172229399442
0.5553736707601106,0.5850097182483888,0.7427497581312815
0.5664277727669182,0.5683254633858157,0.730984071806169
0.5639653505442731,0.5720705285742004,0.7360459259847739
0.5552283216289302,0.5852269074562235,0.7459552534156242
0.5497761238533302,0.593332839889485,0.7479471923849825
0.5567242194527411,0.5829889308889498,0.7474439181870015
0.5420267899138114,0.6047163442468085,0.7537306689687886
0.5332921493683109,0.6173535100955085,0.7638357564020453
0.5320888061399374,0.6190784016686474,0.7650840670492953
0.533211965887277,0.6174685675588589,0.7697347664279127
0.5326873116402584,0.6182209812916337,0.7632372463065956
0.5244806708064225,0.6298938279732007,0.7716169052714454
0.5401549462908883,0.6074417873324403,0.7685187825640353
0.5416415506738461,0.6052780310960976,0.7670958000345687
1.7976688410950272,-3.3479719601277766,0.7737037829290438
0.5385656472566107,0.609748438609542,0.7660355522761739
0.9648960582891094,-0.25264617738953166,0.777361277617162
0.8596785169792304,0.005649489663004492,0.7737419720053283
