RMSE,R2,Sp
1.418859411881125,-1.7086075437530748,0.17902766205205423
1.5793212352905721,-2.3558945253172556,0.26609952553010746
1.570809444544887,-2.319818651295524,0.24534979105899454
1.583039855240036,-2.37171649709811,0.2848066245511996
1.4027460453341858,-1.6474359316326175,0.31568969467021174
1.424751520891466,-1.7311503667668386,0.3046944929713251
1.3949977530342017,-1.6182696348596535,0.3234975302633655
1.2965597899094081,-1.2617908894699466,0.32670343816248654
1.233654120453825,-1.0476427130535764,0.35457976770169924
1.1799133415313452,-0.8731285205377457,0.36849658533782664
1.1706054409901818,-0.8436922481619533,0.3893588966544751
1.1058683243063607,-0.6454102187818522,0.38904619899621007
1.1203629355095688,-0.6888256581102934,0.3911890646530615
1.0903696768137825,-0.5996128470129278,0.4175953096131165
1.081066018395143,-0.5724316810285153,0.417000214230856
1.0807632086369507,-0.5715509189588013,0.42399733669120254
1.0394240231546337,-0.4536265711474974,0.43705245178696356
1.025416369980508,-0.4147113752921505,0.4550218998977718
1.0195172709307623,-0.3984808617730988,0.46321776589633307
0.9849409732953598,-0.30523214702846513,0.47775742311230135
1.007296760334399,-0.36515582732448615,0.4725662003061406
0.9708642459719969,-0.26819012789330565,0.49176078340512913
0.9750282082434631,-0.2790917964164532,0.4858320762955643
0.9540079704588172,-0.22453544096563371,0.49419697476803154
0.939872766485941,-0.18851723647020124,0.48908483116345314
0.903459103668103,-0.09820735938431957,0.5281670716532743
0.9043644508821391,-0.10040946712253485,0.5248266875022609
0.8969073727982796,-0.08233708922485516,0.5197143416375839
0.8697806348222484,-0.017857125214582492,0.5331618181843307
0.8605167349640399,0.0037094881334908125,0.5382038733554212
0.8566669509543113,0.01260396625202731,0.540904953709376
0.8487206365188162,0.030836885002591186,0.5485349870418509
0.8386467202966528,0.05370736770425655,0.540965105301734
0.8359446959839275,0.05979523905225792,0.5537779666800533
0.8140161554855124,0.10847525591454055,0.5555956882797947
0.8012427275065253,0.13623509565865644,0.563562512256744
0.8011617636032871,0.1364096501161356,0.5735791861575872
0.7695769953818397,0.20315930237578594,0.5887975335733394
0.7707564708523994,0.2007149094537226,0.5874819948672093
0.7935881842630012,0.1526599406106962,0.5762935815444568
0.7493135823156224,0.2445694175544838,0.5929915721610707
0.7674761834768237,0.20750383853529852,0.5949980106282746
0.7647799925328664,0.21306223318939155,0.5935191277264821
0.7357560556990266,0.27165852138059765,0.6015615168487066
0.754035920556487,0.2350176355605328,0.6074934397544479
0.7321585499273147,0.2787636123701417,0.6123175254740261
0.7407928880182623,0.26165224041573776,0.6022012820251613
0.7257677541942097,0.2912995799731448,0.6104035781946799
0.675443424988501,0.3861739578667531,0.6348926445394811
0.6762898966452268,0.3846344894148076,0.6312967246773147
0.6948468195320676,0.3504007708157485,0.6267300012101515
0.6898540689367154,0.3597024893945514,0.6288428077951195
0.6717303790226785,0.39290405462127387,0.6402547218716141
0.6857599607009941,0.3672799427083343,0.6344732476429046
0.6770875446047502,0.38318205160928753,0.637250976427057
0.6676320801483902,0.4002893709476192,0.6382499203615734
0.6583742825932138,0.41680597054408064,0.6456367649350927
0.6926007040799298,0.35459368520034373,0.6394504937498202
0.6867253273094224,0.3654972876186985,0.6368260780265818
0.6498300355124893,0.43184489334305765,0.6554481093762289
0.6138284718428028,0.49305433845828717,0.6785089581490568
0.6279624162409316,0.46943981422388614,0.6677168720725274
